[2024-12-23T17:17:37.580+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T17:17:37.617+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.629+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.630+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T17:17:37.647+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 17:17:32.821041+00:00
[2024-12-23T17:17:37.659+0000] {standard_task_runner.py:63} INFO - Started process 241 to run task
[2024-12-23T17:17:37.662+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T17:17:32.821041+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmp8szkq4eg']
[2024-12-23T17:17:37.665+0000] {standard_task_runner.py:91} INFO - Job 136: Subtask image_to_datalake
[2024-12-23T17:17:37.733+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T17:21:17.514+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000095.jpg
[2024-12-23T17:21:19.836+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000096.jpg
[2024-12-23T17:21:22.133+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000097.jpg
[2024-12-23T17:21:24.428+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000098.jpg
[2024-12-23T17:21:26.711+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000099.jpg
[2024-12-23T17:21:29.041+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000100.jpg
[2024-12-23T17:21:31.413+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000101.jpg
[2024-12-23T17:21:33.686+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000102.jpg
[2024-12-23T17:21:35.946+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000103.jpg
[2024-12-23T17:21:38.230+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000104.jpg
[2024-12-23T17:21:40.523+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000105.jpg
[2024-12-23T17:21:42.790+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000106.jpg
[2024-12-23T17:21:45.135+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000107.jpg
[2024-12-23T17:21:47.523+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000108.jpg
[2024-12-23T17:21:49.935+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000109.jpg
[2024-12-23T17:21:52.278+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000110.jpg
[2024-12-23T17:21:54.635+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000111.jpg
[2024-12-23T17:21:56.934+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000112.jpg
[2024-12-23T17:21:59.233+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000113.jpg
[2024-12-23T17:22:01.500+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000114.jpg
[2024-12-23T17:22:03.793+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000115.jpg
[2024-12-23T17:22:06.090+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000116.jpg
[2024-12-23T17:22:08.377+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000117.jpg
[2024-12-23T17:22:10.647+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000118.jpg
[2024-12-23T17:22:12.932+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000119.jpg
