[2024-12-23T11:12:57.957+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T11:12:57.990+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T11:12:53.548733+00:00 [queued]>
[2024-12-23T11:12:58.000+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T11:12:53.548733+00:00 [queued]>
[2024-12-23T11:12:58.001+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T11:12:58.025+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 11:12:53.548733+00:00
[2024-12-23T11:12:58.034+0000] {standard_task_runner.py:63} INFO - Started process 4985 to run task
[2024-12-23T11:12:58.036+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T11:12:53.548733+00:00', '--job-id', '115', '--raw', '--subdir', 'DAGS_FOLDER/pipline_stream.py', '--cfg-path', '/tmp/tmpyxpah8ef']
[2024-12-23T11:12:58.039+0000] {standard_task_runner.py:91} INFO - Job 115: Subtask image_to_datalake
[2024-12-23T11:12:58.096+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T11:12:53.548733+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T11:16:11.184+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000083.jpg
[2024-12-23T11:16:13.453+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000084.jpg
[2024-12-23T11:16:15.741+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000085.jpg
[2024-12-23T11:16:18.038+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000086.jpg
[2024-12-23T11:16:20.341+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000087.jpg
[2024-12-23T11:16:22.624+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000088.jpg
[2024-12-23T11:16:24.919+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000089.jpg
[2024-12-23T11:16:27.180+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000090.jpg
[2024-12-23T11:16:29.456+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000091.jpg
[2024-12-23T11:16:31.731+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000092.jpg
[2024-12-23T11:16:33.992+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000093.jpg
[2024-12-23T11:16:36.284+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000094.jpg
[2024-12-23T11:16:38.550+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000095.jpg
[2024-12-23T11:16:40.825+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000096.jpg
[2024-12-23T11:16:43.093+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000097.jpg
[2024-12-23T11:16:45.461+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000098.jpg
[2024-12-23T11:16:47.762+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000099.jpg
[2024-12-23T11:16:50.057+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000100.jpg
[2024-12-23T11:16:52.352+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000101.jpg
[2024-12-23T11:16:54.640+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000102.jpg
[2024-12-23T11:16:56.943+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000103.jpg
[2024-12-23T11:16:59.225+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000104.jpg
[2024-12-23T11:17:01.515+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000105.jpg
[2024-12-23T11:17:03.836+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000106.jpg
[2024-12-23T11:17:06.113+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000107.jpg
[2024-12-23T11:17:08.447+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000108.jpg
[2024-12-23T11:17:10.779+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000109.jpg
[2024-12-23T11:17:13.253+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000110.jpg
[2024-12-23T11:17:15.527+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/2/20240200000111.jpg
