[2024-12-23T20:05:06.351+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:05:06.400+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.416+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.418+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T20:10:02.870+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000130.jpg
[2024-12-23T20:10:05.255+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000131.jpg
[2024-12-23T20:10:07.523+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000132.jpg
[2024-12-23T20:10:09.807+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000133.jpg
[2024-12-23T20:10:12.173+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000134.jpg
[2024-12-23T20:10:14.452+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000135.jpg
[2024-12-23T20:10:16.734+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000136.jpg
[2024-12-23T20:10:19.063+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000137.jpg
[2024-12-23T20:10:21.347+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000138.jpg
[2024-12-23T20:10:23.609+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000139.jpg
[2024-12-23T20:10:25.891+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000140.jpg
[2024-12-23T20:10:28.208+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000141.jpg
[2024-12-23T20:10:30.586+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000142.jpg
[2024-12-23T20:10:32.871+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000143.jpg
